# KaDE -l 6 --count Occurrences kappa/ode.4.12.red.ka --output kappa/ode.4.12.red --output-plot ../data/ode.4.12.red.data
# [T] A |A.x-x| 
0.780000 1.500036 2.249982 
0.790000 1.500031 2.249985 
0.800000 1.500027 2.249987 
0.810000 1.500023 2.249988 
0.820000 1.500020 2.249990 
0.830000 1.500018 2.249991 
0.840000 1.500015 2.249992 
0.850000 1.500013 2.249993 
0.860000 1.500012 2.249994 
0.870000 1.500010 2.249995 
0.880000 1.500009 2.249996 
0.890000 1.500008 2.249996 
0.900000 1.500007 2.249997 
0.910000 1.500006 2.249997 
0.920000 1.500005 2.249997 
0.930000 1.500004 2.249998 
0.940000 1.500004 2.249998 
0.950000 1.500003 2.249998 
0.960000 1.500003 2.249999 
0.970000 1.500002 2.249999 
0.980000 1.500002 2.249999 
0.990000 1.500002 2.249999 
1.000000 1.500002 2.249999 
1.010000 1.500001 2.249999 
1.020000 1.500001 2.249999 
1.030000 1.500001 2.249999 
1.040000 1.500001 2.250000 
1.050000 1.500001 2.250000 
1.060000 1.500001 2.250000 
1.070000 1.500001 2.250000 
1.080000 1.500001 2.250000 
1.090000 1.500000 2.250000 
1.100000 1.500000 2.250000 
1.110000 1.500000 2.250000 
1.120000 1.500000 2.250000 
1.130000 1.500000 2.250000 
1.140000 1.500000 2.250000 
1.150000 1.500000 2.250000 
1.160000 1.500000 2.250000 
1.170000 1.500000 2.250000 
1.180000 1.500000 2.250000 
1.190000 1.500000 2.250000 
1.200000 1.500000 2.250000 
1.210000 1.500000 2.250000 
1.220000 1.500000 2.250000 
1.230000 1.500000 2.250000 
1.240000 1.500000 2.250000 
1.250000 1.500000 2.250000 
1.260000 1.500000 2.250000 
1.270000 1.500000 2.250000 
1.280000 1.500000 2.250000 
1.290000 1.500000 2.250000 
1.300000 1.500000 2.250000 
1.310000 1.500000 2.250000 
1.320000 1.500000 2.250000 
1.330000 1.500000 2.250000 
1.340000 1.500000 2.250000 
1.350000 1.500000 2.250000 
1.360000 1.500000 2.250000 
1.370000 1.500000 2.250000 
1.380000 1.500000 2.250000 
1.390000 1.500000 2.250000 
1.400000 1.500000 2.250000 
1.410000 1.500000 2.250000 
1.420000 1.500000 2.250000 
1.430000 1.500000 2.250000 
1.440000 1.500000 2.250000 
1.450000 1.500000 2.250000 
1.460000 1.500000 2.250000 
1.470000 1.500000 2.250000 
1.480000 1.500000 2.250000 
1.490000 1.500000 2.250000 
1.500000 1.500000 2.250000 
1.510000 1.500000 2.250000 
1.520000 1.500000 2.250000 
1.530000 1.500000 2.250000 
1.540000 1.500000 2.250000 
1.550000 1.500000 2.250000 
1.560000 1.500000 2.250000 
1.570000 1.500000 2.250000 
1.580000 1.500000 2.250000 
1.590000 1.500000 2.250000 
1.600000 1.500000 2.250000 
1.610000 1.500000 2.250000 
1.620000 1.500000 2.250000 
1.630000 1.500000 2.250000 
1.640000 1.500000 2.250000 
1.650000 1.500000 2.250000 
1.660000 1.500000 2.250000 
1.670000 1.500000 2.250000 
1.680000 1.500000 2.250000 
1.690000 1.500000 2.250000 
1.700000 1.500000 2.250000 
1.710000 1.500000 2.250000 
1.720000 1.500000 2.250000 
1.730000 1.500000 2.250000 
1.740000 1.500000 2.250000 
1.750000 1.500000 2.250000 
1.760000 1.500000 2.250000 
1.770000 1.500000 2.250000 
1.780000 1.500000 2.250000 
1.790000 1.500000 2.250000 
1.800000 1.500000 2.250000 
1.810000 1.500000 2.250000 
1.820000 1.500000 2.250000 
1.830000 1.500000 2.250000 
1.840000 1.500000 2.250000 
1.850000 1.500000 2.250000 
1.860000 1.500000 2.250000 
1.870000 1.500000 2.250000 
1.880000 1.500000 2.250000 
1.890000 1.500000 2.250000 
1.900000 1.500000 2.250000 
1.910000 1.500000 2.250000 
1.920000 1.500000 2.250000 
1.930000 1.500000 2.250000 
1.940000 1.500000 2.250000 
1.950000 1.500000 2.250000 
1.960000 1.500000 2.250000 
1.970000 1.500000 2.250000 
1.980000 1.500000 2.250000 
1.990000 1.500000 2.250000 
2.000000 1.500000 2.250000 
2.010000 1.500000 2.250000 
2.020000 1.500000 2.250000 
2.030000 1.500000 2.250000 
2.040000 1.500000 2.250000 
2.050000 1.500000 2.250000 
2.060000 1.500000 2.250000 
2.070000 1.500000 2.250000 
2.080000 1.500000 2.250000 
2.090000 1.500000 2.250000 
2.100000 1.500000 2.250000 
2.110000 1.500000 2.250000 
2.120000 1.500000 2.250000 
2.130000 1.500000 2.250000 
2.140000 1.500000 2.250000 
2.150000 1.500000 2.250000 
2.160000 1.500000 2.250000 
2.170000 1.500000 2.250000 
2.180000 1.500000 2.250000 
2.190000 1.500000 2.250000 
2.200000 1.500000 2.250000 
2.210000 1.500000 2.250000 
2.220000 1.500000 2.250000 
2.230000 1.500000 2.250000 
2.240000 1.500000 2.250000 
2.250000 1.500000 2.250000 
2.260000 1.500000 2.250000 
2.270000 1.500000 2.250000 
2.280000 1.500000 2.250000 
2.290000 1.500000 2.250000 
2.300000 1.500000 2.250000 
2.310000 1.500000 2.250000 
2.320000 1.500000 2.250000 
2.330000 1.500000 2.250000 
2.340000 1.500000 2.250000 
2.350000 1.500000 2.250000 
2.360000 1.500000 2.250000 
2.370000 1.500000 2.250000 
2.380000 1.500000 2.250000 
2.390000 1.500000 2.250000 
2.400000 1.500000 2.250000 
2.410000 1.500000 2.250000 
2.420000 1.500000 2.250000 
2.430000 1.500000 2.250000 
2.440000 1.500000 2.250000 
2.450000 1.500000 2.250000 
2.460000 1.500000 2.250000 
2.470000 1.500000 2.250000 
2.480000 1.500000 2.250000 
2.490000 1.500000 2.250000 
2.500000 1.500000 2.250000 
2.510000 1.500000 2.250000 
2.520000 1.500000 2.250000 
2.530000 1.500000 2.250000 
2.540000 1.500000 2.250000 
2.550000 1.500000 2.250000 
2.560000 1.500000 2.250000 
2.570000 1.500000 2.250000 
2.580000 1.500000 2.250000 
2.590000 1.500000 2.250000 
2.600000 1.500000 2.250000 
2.610000 1.500000 2.250000 
2.620000 1.500000 2.250000 
2.630000 1.500000 2.250000 
2.640000 1.500000 2.250000 
2.650000 1.500000 2.250000 
2.660000 1.500000 2.250000 
2.670000 1.500000 2.250000 
2.680000 1.500000 2.250000 
2.690000 1.500000 2.250000 
2.700000 1.500000 2.250000 
2.710000 1.500000 2.250000 
2.720000 1.500000 2.250000 
2.730000 1.500000 2.250000 
2.740000 1.500000 2.250000 
2.750000 1.500000 2.250000 
2.760000 1.500000 2.250000 
2.770000 1.500000 2.250000 
2.780000 1.500000 2.250000 
2.790000 1.500000 2.250000 
2.800000 1.500000 2.250000 
2.810000 1.500000 2.250000 
2.820000 1.500000 2.250000 
2.830000 1.500000 2.250000 
2.840000 1.500000 2.250000 
2.850000 1.500000 2.250000 
2.860000 1.500000 2.250000 
2.870000 1.500000 2.250000 
2.880000 1.500000 2.250000 
2.890000 1.500000 2.250000 
2.900000 1.500000 2.250000 
2.910000 1.500000 2.250000 
2.920000 1.500000 2.250000 
2.930000 1.500000 2.250000 
2.940000 1.500000 2.250000 
2.950000 1.500000 2.250000 
2.960000 1.500000 2.250000 
2.970000 1.500000 2.250000 
2.980000 1.500000 2.250000 
2.990000 1.500000 2.250000 
3.000000 1.500000 2.250000 
3.010000 1.500000 2.250000 
3.020000 1.500000 2.250000 
3.030000 1.500000 2.250000 
3.040000 1.500000 2.250000 
3.050000 1.500000 2.250000 
3.060000 1.500000 2.250000 
3.070000 1.500000 2.250000 
3.080000 1.500000 2.250000 
3.090000 1.500000 2.250000 
3.100000 1.500000 2.250000 
3.110000 1.500000 2.250000 
3.120000 1.500000 2.250000 
3.130000 1.500000 2.250000 
3.140000 1.500000 2.250000 
3.150000 1.500000 2.250000 
3.160000 1.500000 2.250000 
3.170000 1.500000 2.250000 
3.180000 1.500000 2.250000 
3.190000 1.500000 2.250000 
3.200000 1.500000 2.250000 
3.210000 1.500000 2.250000 
3.220000 1.500000 2.250000 
3.230000 1.500000 2.250000 
3.240000 1.500000 2.250000 
3.250000 1.500000 2.250000 
3.260000 1.500000 2.250000 
3.270000 1.500000 2.250000 
3.280000 1.500000 2.250000 
3.290000 1.500000 2.250000 
3.300000 1.500000 2.250000 
3.310000 1.500000 2.250000 
3.320000 1.500000 2.250000 
3.330000 1.500000 2.250000 
3.340000 1.500000 2.250000 
3.350000 1.500000 2.250000 
3.360000 1.500000 2.250000 
3.370000 1.500000 2.250000 
3.380000 1.500000 2.250000 
3.390000 1.500000 2.250000 
3.400000 1.500000 2.250000 
3.410000 1.500000 2.250000 
3.420000 1.500000 2.250000 
3.430000 1.500000 2.250000 
3.440000 1.500000 2.250000 
3.450000 1.500000 2.250000 
3.460000 1.500000 2.250000 
3.470000 1.500000 2.250000 
3.480000 1.500000 2.250000 
3.490000 1.500000 2.250000 
3.500000 1.500000 2.250000 
3.510000 1.500000 2.250000 
3.520000 1.500000 2.250000 
3.530000 1.500000 2.250000 
3.540000 1.500000 2.250000 
3.550000 1.500000 2.250000 
3.560000 1.500000 2.250000 
3.570000 1.500000 2.250000 
3.580000 1.500000 2.250000 
3.590000 1.500000 2.250000 
3.600000 1.500000 2.250000 
3.610000 1.500000 2.250000 
3.620000 1.500000 2.250000 
3.630000 1.500000 2.250000 
